,Table S11 GO enrichment of cluster 4,,,,,
PO:0001081,mature plant embryo stage,5,13314,2.71E-03,plant_structure_development_stage,"A plant embryo development stage (PO:0007631) during the interval between when a plant embryo (PO:0009009) has stopped developmental growth involved in morphogenesis (GO:0060560) and one of the following: the beginning of the seed germination stage (PO:0007057) in seed plants, formation of the first vascular leaf (PO:0009025) in pteridophytes, the beginning of development of a sporangium (PO:0025094) in bryophytes, or the beginning of the formation of a plant organ (PO:0009008) such as a root (PO:0009005), shoot axis (PO:0025029), or vascular leaf (PO:0009025) in a cultured plant embryo (PO:0000010)."
PO:0004013,plant epidermal cell,6,19203,7.59E-05,plant_anatomy,A native plant cell (PO:0025606) that is part of a portion of epidermis (PO:0005679).
PO:0004507,plant embryo bilateral stage,5,13793,1.92E-03,plant_structure_development_stage,A plant embryo development stage (PO:0007631) that occurs during the interval between the transition from radial to bilateral symmetry in a plant embryo proper (PO:0000001) and the onset of either the plant embryo cotyledonary stage (PO:0001078) or the plant embryo coleoptilar stage (PO:0001094).
PO:0009025,vascular leaf,6,19123,8.10E-05,plant_anatomy,A leaf (PO:0025034) in a vascular plant.
PO:0007112,1 main shoot growth stage,5,14075,1.56E-03,plant_structure_development_stage,The stage at which vegetative structures are being produced by SAM.
PO:0007115,LP.04 four leaves visible stage,5,13665,2.10E-03,plant_structure_development_stage,"The stage at which leaves at four nodes, other than the cotyledonary node, are visible above ground."
PO:0007604,corolla development stage,6,16503,6.31E-04,plant_structure_development_stage,A collective phyllome structure development stage (PO:0025578) that has as a primary participant a corolla (PO:0009059).
PO:0007133,leaf production stage,5,14071,1.56E-03,plant_structure_development_stage,The stage at which the leaves produced by SAM are visible above the ground in a seedling or mature plant.
PO:0009002,plant cell,7,23987,3.44E-06,plant_anatomy,A cell which is a plant structure (PO:0009011).
PO:0009005,root,5,15415,5.72E-04,plant_anatomy,A plant axis (PO:0025004) that lacks shoot axis nodes (PO:0005004) and usually grows indeterminately.
PO:0000230,inflorescence meristem,5,13008,3.38E-03,plant_anatomy,A meristem that gives rise to an inflorescence.
PO:0007611,petal differentiation and expansion stage,6,16503,6.31E-04,plant_structure_development_stage,Stage of corolla development defined by differentiation and expansion of petal.
PO:0009007,portion of plant tissue,5,14718,9.68E-04,plant_anatomy,A plant structure (PO:0009011) that consists predominantly of similarly specialized plant cells (PO:0009002) of one or more types.
PO:0009009,plant embryo,5,15925,3.87E-04,plant_anatomy,A whole plant (PO:0000003) that participates in the plant embryo stage (PO:0007631).
PO:0025023,collective phyllome structure,6,15924,9.73E-04,plant_anatomy,A collective plant organ structure (PO:0025007) that consists of two or more phyllomes (PO:0006001) originating from the same node or from one or more adjacent nodes with compressed shoot internodes (PO:0005005).
PO:0009010,seed,5,14596,1.06E-03,plant_anatomy,A multi-tissue plant structure (PO:0025496) that develops from a plant ovule (PO:0020003) and has as parts a plant embryo (PO:0009009) enclosed in a seed coat (PO:0009088).
PO:0009013,portion of meristem tissue,5,13297,2.75E-03,plant_anatomy,"A portion of plant tissue (PO:0009007) in which plant cells (PO:0009002) have retained their embryonic characteristics, or have reverted to them secondarily, and that divide to produce new cells that can undergo differentiation to form mature tissues, i.e. they have a capacity for morphogenesis and growth."
PO:0025338,collective plant organ structure development stage,6,17134,3.90E-04,plant_structure_development_stage,A plant structure development stage (PO:0009012) that has as primary participant a collective plant structure (PO:0025497).
PO:0025578,collective phyllome structure development stage,6,16509,6.28E-04,plant_structure_development_stage,A collective plant organ stucture development stage (PO:0025338) that has as primary participant collective phyllome structure (PO:0025023).
PO:0025606,native plant cell,7,20721,5.79E-05,plant_anatomy,A plant cell (PO:0009002) that is either part of a multicellular whole plant (PO:0000003) 'in vivo' or a unicellular organism 'in natura' (i.e. part of a natural environment).
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",3,396,7.24E-05,molecular_function,A DNA-binding transcription factor activity that modulates the transcription of specific gene sets transcribed by RNA polymerase II.
GO:0003674,molecular_function,95,57742,1.47E-09,molecular_function,"A molecular process that can be carried out by the action of a single macromolecular machine, usually via direct physical interactions with other molecular entities. Function in this sense denotes an action, or activity, that a gene product (or a complex) performs."
PO:0025165,shoot epidermal cell,6,19073,8.44E-05,plant_anatomy,A plant epidermal cell (PO:0004013) that is part of a shoot axis epidermis (PO:0000112).
PO:0009047,stem,5,14306,1.31E-03,plant_anatomy,A shoot axis (PO:0025029) that is the primary axis of a plant.
PO:0025022,collective leaf structure,6,15870,1.01E-03,plant_anatomy,A collective phyllome structure (PO:0025023) composed of two or more leaves (PO:0025034).
GO:0003700,DNA-binding transcription factor activity,17,2965,2.07E-14,molecular_function,"A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons."
GO:0009889,regulation of biosynthetic process,24,5220,1.03E-14,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances."
GO:0006355,regulation of DNA-templated transcription,21,4576,5.59E-13,biological_process,"Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
GO:0019222,regulation of metabolic process,33,7574,1.82E-18,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."
GO:0010468,regulation of gene expression,28,6198,1.35E-16,biological_process,"Any process that modulates the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA)."
GO:0010556,regulation of macromolecule biosynthetic process,21,4807,4.09E-12,biological_process,"Any process that modulates the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
GO:0050789,regulation of biological process,44,12088,8.84E-19,biological_process,"Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."
GO:0031323,regulation of cellular metabolic process,28,5978,1.82E-17,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."
GO:0031326,regulation of cellular biosynthetic process,23,5037,5.22E-14,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances, carried out by individual cells."
GO:0065007,biological regulation,47,12711,1.26E-20,biological_process,"Any process that modulates a measurable attribute of any biological process, quality or function."
GO:0019219,regulation of nucleobase-containing compound metabolic process,23,5254,3.36E-13,biological_process,"Any cellular process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."
GO:0060255,regulation of macromolecule metabolic process,30,6779,3.23E-17,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
GO:0051252,regulation of RNA metabolic process,22,4862,2.81E-13,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving RNA."
GO:0051171,regulation of nitrogen compound metabolic process,27,5970,4.66E-16,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."
GO:0080090,regulation of primary metabolic process,26,6120,3.63E-14,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."
PO:0025498,cardinal part of multi-tissue plant structure,5,15616,4.91E-04,plant_anatomy,A plant structure (PO:0009011) that is a proper part of a multi-tissue plant structure (PO:0025496) and includes portions of plant tissues (PO:0009007) of at least two different types.
GO:0140110,transcription regulator activity,17,3231,6.78E-13,molecular_function,"A molecular function that controls the rate, timing and/or magnitude of gene transcription. The function of transcriptional regulators is to modulate gene expression at the transcription step so that they are expressed in the right cell at the right time and in the right amount throughout the life of the cell and the organism. Genes are transcriptional units, and include bacterial operons."
PO:0025395,floral organ,5,16427,2.62E-04,plant_anatomy,A plant organ (PO:0009008) that is part of a flower (PO:0009046).
GO:0050794,regulation of cellular process,38,9588,1.88E-18,biological_process,"Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."
PO:0025281,pollen,5,12878,3.71E-03,plant_anatomy,A microgametophyte (PO:0025280) that develops from a microspore (PO:0020048) is located in a pollen sac (PO:0025277).
PO:0025280,microgametophyte,5,13121,3.12E-03,plant_anatomy,A whole plant (PO:0000003) in the gametophyte development stage (PO:0028003) that produces plant sperm cells (PO:0000084).
PO:0025001,cardinal organ part,5,15614,4.92E-04,plant_anatomy,A cardinal part of multi-tissue plant structure (PO:0025498) that is a proper part of a plant organ (PO:0009008) and includes portions of plant tissue (PO:0009007) of at least two different types.
PO:0000013,cauline leaf,4,13008,1.36E-03,plant_anatomy,"A vascular leaf (PO:0009025), borne on the stem (PO:0009047)."
PO:0001050,leaf development stage,4,12878,1.50E-03,plant_structure_development_stage,A phyllome development stage (PO:0025579) during which the development of vascular leaves (PO:0009025) and non-vascular leaves (PO:0025075) occurs.
GO:2001141,regulation of RNA biosynthetic process,21,4583,5.96E-13,biological_process,"Any process that modulates the frequency, rate or extent of RNA biosynthetic process."
PO:0009026,sporophyll,5,14957,8.09E-04,plant_anatomy,A leaf-like organ on which one or more sporangia are borne.
PO:0001185,plant embryo globular stage,4,13735,7.92E-04,plant_structure_development_stage,"A plant embryo development stage (PO:0007631) that occurs during the interval between when a plant embryo proper (PO:0000001) increases in diameter through cell division, but retains radial symmetry (with the concomitant formation of a protoderm (PO:0006210)), and the onset of a plant embryo bilateral stage (PO:0004507)."
PO:0001054,vascular leaf senescent stage,4,12870,1.51E-03,plant_structure_development_stage,A vascular leaf development stage (PO:0025570) that begins with the formation of a abscission zone at the base of a vascular leaf (PO:0009025) and ends with leaf separation and death.
GO:0006259,DNA metabolic process,5,1155,6.38E-04,biological_process,"Any cellular metabolic process involving deoxyribonucleic acid. This is one of the two main types of nucleic acid, consisting of a long, unbranched macromolecule formed from one, or more commonly, two, strands of linked deoxyribonucleotides."
PO:0007098,LP.02 two leaves visible stage,3,12293,8.85E-04,plant_structure_development_stage,"The stage at which leaves at two nodes, other than the cotyledonary node, are visible above ground."
PO:0005005,shoot axis internode,5,14475,1.16E-03,plant_anatomy,A cardinal organ part (PO:0025001) of a shoot axis (PO:0025029) that is between two shoot axis nodes (PO:0005004).
PO:0007103,LP.10 ten leaves visible stage,3,12625,6.88E-04,plant_structure_development_stage,"The stage at which leaves at ten nodes, other than the cotyledonary node, are visible above ground."
PO:0007064,LP.12 twelve leaves visible stage,3,12134,9.98E-04,plant_structure_development_stage,"The stage at which leaves at twelve nodes, other than the cotyledonary node, are visible above ground."
PO:0007095,LP.08 eight leaves visible stage,3,12155,9.82E-04,plant_structure_development_stage,"The stage at which leaves at eight nodes, other than the cotyledonary node, are visible above ground."
PO:0007615,flower development stage,5,16212,3.10E-04,plant_structure_development_stage,A reproductive shoot system development stage (PO:0025530) that occurs in an individual flower (PO:000904) during the interval between the onset of a flower meristem transition stage (PO:0025588) and the end of a flowering stage (PO:0007616).
PO:0007616,flowering stage,5,16208,3.11E-04,plant_structure_development_stage,A flower development stage (PO:0007615) that begins when pollen (PO:0025281) is released by anther dehiscence (GO:0009901) and/or the stigma (PO:0009073) is receptive and ends with the process of pollination (GO:0009856) and/or floral organ senescence (GO:0080187).
PO:0007123,LP.06 six leaves visible stage,3,12534,7.37E-04,plant_structure_development_stage,"The stage at which leaves at six nodes, other than the cotyledonary node, are visible above ground."
PO:0009028,microsporophyll,5,13990,1.66E-03,plant_anatomy,"A structure on which one or more microsporangia are borne; in flowering plants, the stamen."
PO:0008019,leaf lamina base,4,12609,1.83E-03,plant_anatomy,The region of the leaf lamina proximal to the stem and usually connected to it by means of a petiole.
PO:0009027,megasporophyll,5,13941,1.72E-03,plant_anatomy,"A structure upon which (or in the axil of which) one or more megasporangia are borne; in flowering plants, a carpel."
PO:0009032,petal,5,14717,9.68E-04,plant_anatomy,"A phyllome (PO:0006001) that is part of the corolla (PO:0009059), and is usually colored (not green)."
PO:0009029,stamen,5,13990,1.66E-03,plant_anatomy,A microsporophyll bearing one or more microsporangia.
PO:0009031,sepal,5,15484,5.43E-04,plant_anatomy,"A phyllome (PO:0006001) that is usually green, and is part of the calyx (PO:0009060)."
PO:0020038,petiole,3,12543,7.32E-04,plant_anatomy,A stalk (PO:0025066) of a vascular leaf (PO:0009025).
PO:0009030,carpel,5,13941,1.72E-03,plant_anatomy,"A megasporophyll, almost always at the center of a flower, its margins more or less fused together or with other carpels to enclose the ovule(s)."
PO:0009052,inflorescence flower pedicel,4,13629,8.57E-04,plant_anatomy,A flower pedicel (PO:0030113) that bears a flower (PO:0009046) in an inflorescence (PO:0009049).
PO:0020030,cotyledon,4,12983,1.39E-03,plant_anatomy,A vascular leaf (PO:0009025) formed at the first shoot node (PO:0005004) of a plant embryo (PO:0009009) or a seedling (PO:0000003).
PO:0020142,stem internode,5,14475,1.16E-03,plant_anatomy,A shoot axis internode (PO:0005005) that is part of a stem (PO:0009047).
PO:0020100,hypocotyl,5,14474,1.16E-03,plant_anatomy,A stem internode (PO:0020142) below the cotyledonary node (PO:0025321) and transitional to a root (PO:0009005) of a plant embryo (PO:0009009) or a seedling (PO:0000003).
PO:0020137,leaf apex,4,12841,1.54E-03,plant_anatomy,A phyllome apex (PO:0025139) that is part of a leaf (PO:0025034).
PO:0025339,plant organ development stage,4,12892,1.49E-03,plant_structure_development_stage,A multi-tissue plant structure development stage (PO:0025571) that has as primary participant a plant organ (PO:0009008) .
PO:0025006,plant gamete,2,5589,4.60E-02,plant_anatomy,A native plant cell (PO:0025606) that has half the chromosome complement of the sporophyte and is capable of fertilization to create a plant zygote (PO:0000423).
PO:0025527,shoot system development stage,5,16212,3.10E-04,plant_structure_development_stage,A collective plant organ structure development stage (PO:0025338) that begins with the onset of the plant organ development stage (PO:0025339) and ends with either gametophyte senescent stage (PO:0025343) or sporophyte senescent stage (PO:0007017) or death.
PO:0025139,phyllome apex,4,12841,1.54E-03,plant_anatomy,The apical portion of a phyllome.
PO:0025530,reproductive shoot system development stage,5,16212,3.10E-04,plant_structure_development_stage,A shoot system development stage (PO:0025527) that has as primary participant a reproductive shoot system (PO:0025082).
PO:0025066,stalk,3,12616,6.93E-04,plant_anatomy,A cardinal organ part (PO:0025001) that is elongated and sub-cylindrical to cylindrical and supports another cardinal organ part.
PO:0025571,multi-tissue plant structure development stage,4,12990,1.38E-03,plant_structure_development_stage,A plant structure development stage (PO:0009012) that has as primary participant a multi-tissue plant structure (PO:0025496).
PO:0025579,phyllome development stage,4,12878,1.50E-03,plant_structure_development_stage,A plant organ development stage (PO:0025339) that has a primary participant a phyllome (PO:0025023).
PO:0025570,vascular leaf development stage,4,12876,1.51E-03,plant_structure_development_stage,A leaf development stage (PO:0001050) that occurs during the interval between the onset of the vascular leaf initiation stage (PO:0001051) and the termination of the vascular leaf senescent stage (PO:0001054).
PO:0030113,flower pedicel,4,13629,8.57E-04,plant_anatomy,A pedicel (PO:0030112) that bears a flower (PO:0009046).
PO:0030112,pedicel,4,13633,8.55E-04,plant_anatomy,A shoot axis (PO:0025029) that bears only a flower (PO:0009046) or a fruit (PO:0009001).
GO:0005730,nucleolus,2,529,4.26E-02,cellular_component,"A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome."
GO:0006260,DNA replication,2,192,6.98E-05,biological_process,"The cellular metabolic process in which a cell duplicates one or more molecules of DNA. DNA replication begins when specific sequences, known as origins of replication, are recognized and bound by the origin recognition complex, and ends when the original DNA molecule has been completely duplicated and the copies topologically separated. The unit of replication usually corresponds to the genome of the cell, an organelle, or a virus. The template for replication can either be an existing DNA molecule or RNA."
GO:0003916,DNA topoisomerase activity,1,50,3.92E-05,molecular_function,"Catalysis of the transient cleavage and passage of individual DNA strands or double helices through one another, resulting a topological transformation in double-stranded DNA."
GO:0007059,chromosome segregation,1,50,3.92E-05,biological_process,"The process in which genetic material, in the form of chromosomes, is organized into specific structures and then physically separated and apportioned to two or more sets. In eukaryotes, chromosome segregation begins with the condensation of chromosomes, includes chromosome separation, and ends when chromosomes have completed movement to the spindle poles."
GO:0003824,catalytic activity,41,23914,1.09E-03,molecular_function,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
GO:0006265,DNA topological change,1,38,2.09E-06,biological_process,"The process in which a transformation is induced in the topological structure of a double-stranded DNA helix, resulting in a change in linking number."
GO:0043228,non-membrane-bounded organelle,11,2250,4.45E-08,cellular_component,"Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane. Includes ribosomes, the cytoskeleton and chromosomes."
