,Table S10. GO enrichment of cluster 3,,,,,
GO:0001101,response to acid chemical,9,1436,1.43E-09,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus by the chemical structure of the anion portion of a dissociated acid (rather than the acid acting as a proton donor). The acid chemical may be in gaseous, liquid or solid form."
GO:0009266,response to temperature stimulus,14,1385,1.29E-24,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a temperature stimulus."
GO:0043412,macromolecule modification,16,7346,2.09E-03,biological_process,"The covalent alteration of one or more monomeric units in a polypeptide, polynucleotide, polysaccharide, or other biological macromolecule, resulting in a change in its properties."
GO:0110165,cellular anatomical entity,99,35790,4.66E-34,cellular_component,"A part of a cellular organism that is either an immaterial entity or a material entity with granularity above the level of a protein complex but below that of an anatomical system. Or, a substance produced by a cellular organism with granularity above the level of a protein complex."
GO:0009415,response to water,9,1402,7.68E-10,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting the presence, absence, or concentration of water."
GO:0009408,response to heat,11,438,2.48E-52,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heat stimulus, a temperature stimulus above the optimal temperature for that organism."
GO:0009987,cellular process,70,29660,1.23E-15,biological_process,"Any process that is carried out at the cellular level, but not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."
GO:0010035,response to inorganic substance,10,2327,1.33E-06,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an inorganic substance stimulus."
GO:0010033,response to organic substance,21,4472,5.86E-14,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic substance stimulus."
GO:0009414,response to water deprivation,9,1277,5.86E-11,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a water deprivation stimulus, prolonged deprivation of water."
GO:0044237,cellular metabolic process,29,18030,1.30E-02,biological_process,The chemical reactions and pathways by which individual cells transform chemical substances.
GO:0005737,cytoplasm,19,5552,4.03E-08,cellular_component,"The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
GO:0044281,small molecule metabolic process,11,5046,1.01E-02,biological_process,"The chemical reactions and pathways involving small molecules, any low molecular weight, monomeric, non-encoded molecule."
PO:0009011,plant structure,2,33953,1.65E-13,plant_anatomy,"A plant anatomical entity (PO:0025131) that is, or was, part of a plant, or was derived from a part of a plant."
PO:0025131,plant anatomical entity,2,33965,1.63E-13,plant_anatomy,An anatomical entity that is or was part of a plant.
GO:1902074,response to salt,9,1521,5.99E-09,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a salt stimulus."
PO:0025496,multi-tissue plant structure,2,23113,3.97E-08,plant_anatomy,A plant structure (PO:0009011) that has as parts two or more portions of plant tissue (PO:0009007) of at least two different types and which through specific morphogenetic processes forms a single structural unit demarcated by primarily bona-fide boundaries from other structural units of different types.
PO:0009012,plant structure development stage,2,18973,1.80E-06,plant_structure_development_stage,A stage in the life of a plant structure (PO:0009011) during which the plant structure undergoes developmental processes.
PO:0007033,whole plant development stage,2,17841,4.77E-06,plant_structure_development_stage,A plant structure development stage (PO:0009012) that has as primary participant a whole plant (PO:0000003).
PO:0009008,plant organ,2,22513,7.09E-08,plant_anatomy,"A multi-tissue plant structure (PO:0025496) that is a functional unit, is a proper part of a whole plant (PO:0000003), and includes portions of plant tissue (PO:0009007) of at least two different types that derive from a common developmental path."
PO:0006001,phyllome,2,20973,3.00E-07,plant_anatomy,A lateral plant organ (PO:0009008) produced by a shoot apical meristem (PO:0020148).
PO:0028002,sporophyte development stage,2,17093,8.95E-06,plant_structure_development_stage,A whole plant development stage (PO:0007033) that has as primary participant a whole plant (PO:0000003) during the interval between fertilization (or apogamy) and death.
GO:1901700,response to oxygen-containing compound,18,3296,8.21E-15,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."
PO:0025004,plant axis,2,17929,4.42E-06,plant_anatomy,An axial plant organ (PO:0009008).
GO:0042221,response to chemical,24,5178,1.62E-15,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."
PO:0007631,plant embryo development stage,2,15076,4.64E-05,plant_structure_development_stage,"A sporophyte vegetative stage (PO:0007134) that occurs during the interval between the first cell division of a plant zygote (PO:0000423) and one of the following: the beginning of the seed germination stage (PO:0007057) in seed plants, formation of the first vascular leaf (PO:0009025) in pteridophytes, the beginning of development of a sporangium (PO:0025094) in bryophytes, or the beginning of the formation of a plant organ (PO:0009008) such as a root (PO:0009005), shoot axis (PO:0025029), or vascular leaf (PO:0009025) in a cultured plant embryo (PO:0000010)."
PO:0025395,floral organ,2,16427,1.55E-05,plant_anatomy,A plant organ (PO:0009008) that is part of a flower (PO:0009046).
PO:0007134,sporophyte vegetative stage,2,17081,9.04E-06,plant_structure_development_stage,A sporophyte development stage (PO:0028002) that occurs during the interval between the first division of a plant zygote (PO:0000423) and the formation of a sporangium (PO:0025094).
PO:0000003,whole plant,2,19774,8.87E-07,plant_anatomy,A plant structure (PO:0005679) which is a whole organism.
PO:0009025,vascular leaf,1,19123,4.64E-07,plant_anatomy,A leaf (PO:0025034) in a vascular plant.
PO:0025029,shoot axis,2,16477,1.49E-05,plant_anatomy,A plant axis (PO:0025004) that is part of a shoot system (PO:0009006).
PO:0025034,leaf,1,19154,4.51E-07,plant_anatomy,A phyllome (PO:0006001) that is not associated with a reproductive structure.
PO:0009002,plant cell,2,23987,1.68E-08,plant_anatomy,A cell which is a plant structure (PO:0009011).
PO:0009026,sporophyll,2,14957,5.10E-05,plant_anatomy,A leaf-like organ on which one or more sporangia are borne.
PO:0025280,microgametophyte,2,13121,2.14E-04,plant_anatomy,A whole plant (PO:0000003) in the gametophyte development stage (PO:0028003) that produces plant sperm cells (PO:0000084).
PO:0025498,cardinal part of multi-tissue plant structure,1,15616,9.40E-06,plant_anatomy,A plant structure (PO:0009011) that is a proper part of a multi-tissue plant structure (PO:0025496) and includes portions of plant tissues (PO:0009007) of at least two different types.
PO:0025281,pollen,2,12878,2.58E-04,plant_anatomy,A microgametophyte (PO:0025280) that develops from a microspore (PO:0020048) is located in a pollen sac (PO:0025277).
PO:0025338,collective plant organ structure development stage,2,17134,8.65E-06,plant_structure_development_stage,A plant structure development stage (PO:0009012) that has as primary participant a collective plant structure (PO:0025497).
PO:0025007,collective plant organ structure,2,18257,3.34E-06,plant_anatomy,"A collective plant structure (PO:0025497) that is a proper part of a whole plant (PO:0000003), and is composed of two or more adjacent plant organs (PO:0009008) and the associated portions of plant tissue (PO:0009007)."
PO:0025497,collective plant structure,2,18261,3.33E-06,plant_anatomy,"A plant structure (PO:0009011) that is a proper part of a whole plant (PO:0000003) and includes two or more adjacent plant organs (PO:0009008) or adjacent cardinal organ parts (PO:0025001), along with any associated portions of plant tissue (PO:0009007)."
PO:0000013,cauline leaf,1,13008,7.60E-05,plant_anatomy,"A vascular leaf (PO:0009025), borne on the stem (PO:0009047)."
PO:0000037,shoot axis apex,1,14370,2.59E-05,plant_anatomy,A shoot axis (PO:0025029) that is the most distal part of a shoot system (PO:0009006) and has as parts a shoot apical meristem (PO:0020148) and the youngest primordia (PO:0025127).
PO:0000230,inflorescence meristem,2,13008,2.33E-04,plant_anatomy,A meristem that gives rise to an inflorescence.
PO:0000293,guard cell,2,19036,1.70E-06,plant_anatomy,A shoot epidermal cell (PO:0025165) that is one of a pair of cells flanking the stomatal pore (PO:0008032).
PO:0001050,leaf development stage,1,12878,8.42E-05,plant_structure_development_stage,A phyllome development stage (PO:0025579) during which the development of vascular leaves (PO:0009025) and non-vascular leaves (PO:0025075) occurs.
PO:0001054,vascular leaf senescent stage,1,12870,8.47E-05,plant_structure_development_stage,A vascular leaf development stage (PO:0025570) that begins with the formation of a abscission zone at the base of a vascular leaf (PO:0009025) and ends with leaf separation and death.
PO:0001078,plant embryo cotyledonary stage,2,13892,1.18E-04,plant_structure_development_stage,"A plant embryo development stage (PO:0007631) that occurs during the interval between the beginning of rapid elongation of the plant embryo axis (PO:0019018) and plant embryo cotyledons (PO:0025470), and the onset of a plant embryo true leaf formation stage (PO:0001095), when present, or a mature plant embryo stage (PO:0001081)."
PO:0001081,mature plant embryo stage,1,13314,5.98E-05,plant_structure_development_stage,"A plant embryo development stage (PO:0007631) during the interval between when a plant embryo (PO:0009009) has stopped developmental growth involved in morphogenesis (GO:0060560) and one of the following: the beginning of the seed germination stage (PO:0007057) in seed plants, formation of the first vascular leaf (PO:0009025) in pteridophytes, the beginning of development of a sporangium (PO:0025094) in bryophytes, or the beginning of the formation of a plant organ (PO:0009008) such as a root (PO:0009005), shoot axis (PO:0025029), or vascular leaf (PO:0009025) in a cultured plant embryo (PO:0000010)."
PO:0025606,native plant cell,2,20721,3.78E-07,plant_anatomy,A plant cell (PO:0009002) that is either part of a multicellular whole plant (PO:0000003) 'in vivo' or a unicellular organism 'in natura' (i.e. part of a natural environment).
PO:0001185,plant embryo globular stage,2,13735,1.33E-04,plant_structure_development_stage,"A plant embryo development stage (PO:0007631) that occurs during the interval between when a plant embryo proper (PO:0000001) increases in diameter through cell division, but retains radial symmetry (with the concomitant formation of a protoderm (PO:0006210)), and the onset of a plant embryo bilateral stage (PO:0004507)."
PO:0004013,plant epidermal cell,2,19203,1.47E-06,plant_anatomy,A native plant cell (PO:0025606) that is part of a portion of epidermis (PO:0005679).
PO:0004507,plant embryo bilateral stage,2,13793,1.27E-04,plant_structure_development_stage,A plant embryo development stage (PO:0007631) that occurs during the interval between the transition from radial to bilateral symmetry in a plant embryo proper (PO:0000001) and the onset of either the plant embryo cotyledonary stage (PO:0001078) or the plant embryo coleoptilar stage (PO:0001094).
PO:0005005,shoot axis internode,1,14475,2.38E-05,plant_anatomy,A cardinal organ part (PO:0025001) of a shoot axis (PO:0025029) that is between two shoot axis nodes (PO:0005004).
PO:0007133,leaf production stage,1,14071,3.29E-05,plant_structure_development_stage,The stage at which the leaves produced by SAM are visible above the ground in a seedling or mature plant.
PO:0007604,corolla development stage,2,16503,1.46E-05,plant_structure_development_stage,A collective phyllome structure development stage (PO:0025578) that has as a primary participant a corolla (PO:0009059).
PO:0025001,cardinal organ part,1,15614,9.42E-06,plant_anatomy,A cardinal part of multi-tissue plant structure (PO:0025498) that is a proper part of a plant organ (PO:0009008) and includes portions of plant tissue (PO:0009007) of at least two different types.
PO:0007611,petal differentiation and expansion stage,2,16503,1.46E-05,plant_structure_development_stage,Stage of corolla development defined by differentiation and expansion of petal.
PO:0007615,flower development stage,2,16212,1.85E-05,plant_structure_development_stage,A reproductive shoot system development stage (PO:0025530) that occurs in an individual flower (PO:000904) during the interval between the onset of a flower meristem transition stage (PO:0025588) and the end of a flowering stage (PO:0007616).
PO:0007616,flowering stage,2,16208,1.86E-05,plant_structure_development_stage,A flower development stage (PO:0007615) that begins when pollen (PO:0025281) is released by anther dehiscence (GO:0009901) and/or the stigma (PO:0009073) is receptive and ends with the process of pollination (GO:0009856) and/or floral organ senescence (GO:0080187).
PO:0009005,root,2,15415,3.54E-05,plant_anatomy,A plant axis (PO:0025004) that lacks shoot axis nodes (PO:0005004) and usually grows indeterminately.
PO:0008019,leaf lamina base,1,12609,1.04E-04,plant_anatomy,The region of the leaf lamina proximal to the stem and usually connected to it by means of a petiole.
PO:0009006,shoot system,2,17479,6.48E-06,plant_anatomy,A collective plant organ structure (PO:0025007) that produces shoot-borne portions of meristem tissue (PO:0009013) and the plant structures (PO:0009011) that arise from them.
PO:0009009,plant embryo,2,15925,2.34E-05,plant_anatomy,A whole plant (PO:0000003) that participates in the plant embryo stage (PO:0007631).
PO:0007115,LP.04 four leaves visible stage,1,13665,4.54E-05,plant_structure_development_stage,"The stage at which leaves at four nodes, other than the cotyledonary node, are visible above ground."
PO:0007112,1 main shoot growth stage,1,14075,3.28E-05,plant_structure_development_stage,The stage at which vegetative structures are being produced by SAM.
PO:0009027,megasporophyll,2,13941,1.14E-04,plant_anatomy,"A structure upon which (or in the axil of which) one or more megasporangia are borne; in flowering plants, a carpel."
PO:0009007,portion of plant tissue,2,14718,6.17E-05,plant_anatomy,A plant structure (PO:0009011) that consists predominantly of similarly specialized plant cells (PO:0009002) of one or more types.
PO:0009028,microsporophyll,2,13990,1.09E-04,plant_anatomy,"A structure on which one or more microsporangia are borne; in flowering plants, the stamen."
PO:0009010,seed,2,14596,6.79E-05,plant_anatomy,A multi-tissue plant structure (PO:0025496) that develops from a plant ovule (PO:0020003) and has as parts a plant embryo (PO:0009009) enclosed in a seed coat (PO:0009088).
PO:0009030,carpel,2,13941,1.14E-04,plant_anatomy,"A megasporophyll, almost always at the center of a flower, its margins more or less fused together or with other carpels to enclose the ovule(s)."
PO:0009029,stamen,2,13990,1.09E-04,plant_anatomy,A microsporophyll bearing one or more microsporangia.
PO:0009031,sepal,1,15484,1.05E-05,plant_anatomy,"A phyllome (PO:0006001) that is usually green, and is part of the calyx (PO:0009060)."
PO:0009013,portion of meristem tissue,2,13297,1.87E-04,plant_anatomy,"A portion of plant tissue (PO:0009007) in which plant cells (PO:0009002) have retained their embryonic characteristics, or have reverted to them secondarily, and that divide to produce new cells that can undergo differentiation to form mature tissues, i.e. they have a capacity for morphogenesis and growth."
PO:0009032,petal,1,14717,1.96E-05,plant_anatomy,"A phyllome (PO:0006001) that is part of the corolla (PO:0009059), and is usually colored (not green)."
PO:0009047,stem,2,14306,8.54E-05,plant_anatomy,A shoot axis (PO:0025029) that is the primary axis of a plant.
PO:0009046,flower,2,17123,8.73E-06,plant_anatomy,A determinate reproductive shoot system (PO:0025082) that has as part at least one carpel (PO:0009030) or at least one stamen (PO:0009029) and does not contain any other determinate shoot system (PO:0009006) as a part.
PO:0020142,stem internode,1,14475,2.38E-05,plant_anatomy,A shoot axis internode (PO:0005005) that is part of a stem (PO:0009047).
PO:0009052,inflorescence flower pedicel,2,13629,1.45E-04,plant_anatomy,A flower pedicel (PO:0030113) that bears a flower (PO:0009046) in an inflorescence (PO:0009049).
PO:0020030,cotyledon,1,12983,7.75E-05,plant_anatomy,A vascular leaf (PO:0009025) formed at the first shoot node (PO:0005004) of a plant embryo (PO:0009009) or a seedling (PO:0000003).
PO:0020100,hypocotyl,1,14474,2.38E-05,plant_anatomy,A stem internode (PO:0020142) below the cotyledonary node (PO:0025321) and transitional to a root (PO:0009005) of a plant embryo (PO:0009009) or a seedling (PO:0000003).
PO:0025022,collective leaf structure,1,15870,7.62E-06,plant_anatomy,A collective phyllome structure (PO:0025023) composed of two or more leaves (PO:0025034).
PO:0025023,collective phyllome structure,1,15924,7.29E-06,plant_anatomy,A collective plant organ structure (PO:0025007) that consists of two or more phyllomes (PO:0006001) originating from the same node or from one or more adjacent nodes with compressed shoot internodes (PO:0005005).
PO:0025165,shoot epidermal cell,2,19073,1.65E-06,plant_anatomy,A plant epidermal cell (PO:0004013) that is part of a shoot axis epidermis (PO:0000112).
PO:0025082,reproductive shoot system,2,17222,8.04E-06,plant_anatomy,A shoot system (PO:0009006) in the sporophytic phase that has as part at least one sporangium (PO:0025094).
PO:0025339,plant organ development stage,1,12892,8.32E-05,plant_structure_development_stage,A multi-tissue plant structure development stage (PO:0025571) that has as primary participant a plant organ (PO:0009008) .
PO:0025139,phyllome apex,1,12841,8.66E-05,plant_anatomy,The apical portion of a phyllome.
PO:0025527,shoot system development stage,2,16212,1.85E-05,plant_structure_development_stage,A collective plant organ structure development stage (PO:0025338) that begins with the onset of the plant organ development stage (PO:0025339) and ends with either gametophyte senescent stage (PO:0025343) or sporophyte senescent stage (PO:0007017) or death.
PO:0025530,reproductive shoot system development stage,2,16212,1.85E-05,plant_structure_development_stage,A shoot system development stage (PO:0025527) that has as primary participant a reproductive shoot system (PO:0025082).
PO:0025571,multi-tissue plant structure development stage,1,12990,7.71E-05,plant_structure_development_stage,A plant structure development stage (PO:0009012) that has as primary participant a multi-tissue plant structure (PO:0025496).
PO:0025578,collective phyllome structure development stage,2,16509,1.45E-05,plant_structure_development_stage,A collective plant organ stucture development stage (PO:0025338) that has as primary participant collective phyllome structure (PO:0025023).
PO:0030112,pedicel,2,13633,1.44E-04,plant_anatomy,A shoot axis (PO:0025029) that bears only a flower (PO:0009046) or a fruit (PO:0009001).
PO:0020137,leaf apex,1,12841,8.66E-05,plant_anatomy,A phyllome apex (PO:0025139) that is part of a leaf (PO:0025034).
PO:0030113,flower pedicel,2,13629,1.45E-04,plant_anatomy,A pedicel (PO:0030112) that bears a flower (PO:0009046).
GO:0006497,protein lipidation,2,124,2.35E-07,biological_process,The covalent attachment of lipid groups to an amino acid in a protein.
GO:0000506,glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex,1,4,3.69E-51,cellular_component,"An enzyme complex that catalyzes the transfer of GlcNAc from UDP-GlcNAc to an acceptor phosphatidylinositol, the first step in the production of GPI anchors for cell surface proteins. The complex contains PIG-A, PIG-C, PIG-H, PIG-Q, PIG-P, and DPM2 in human, and Eri1p, Gpi1p, Gpi2p, Gpi15p, Gpi19p, and Spt14p in budding yeast."
PO:0025579,phyllome development stage,1,12878,8.42E-05,plant_structure_development_stage,A plant organ development stage (PO:0025339) that has a primary participant a phyllome (PO:0025023).
GO:0006643,membrane lipid metabolic process,3,231,2.61E-08,biological_process,"The chemical reactions and pathways involving membrane lipids, any lipid found in or associated with a biological membrane."
GO:0006505,GPI anchor metabolic process,2,82,1.05E-10,biological_process,"The chemical reactions and pathways involving glycosylphosphatidylinositol anchors, molecular mechanisms for attaching membrane proteins to the lipid bilayer of cell membranes. Structurally they consist of a molecule of phosphatidylinositol to which is linked, via the C-6 hydroxyl of the inositol, a carbohydrate chain. This chain is in turn linked to the protein through an ethanolamine phosphate group, the amino group of which is in amide linkage with the C-terminal carboxyl of the protein chain, the phosphate group being esterified to the C-6 hydroxyl of the terminal mannose of the core carbohydrate chain."
PO:0025570,vascular leaf development stage,1,12876,8.43E-05,plant_structure_development_stage,A leaf development stage (PO:0001050) that occurs during the interval between the onset of the vascular leaf initiation stage (PO:0001051) and the termination of the vascular leaf senescent stage (PO:0001054).
GO:0006506,GPI anchor biosynthetic process,2,81,7.96E-11,biological_process,"The chemical reactions and pathways resulting in the formation of a glycosylphosphatidylinositol (GPI) anchor that attaches some membrane proteins to the lipid bilayer of the cell membrane. The phosphatidylinositol group is linked via the C-6 hydroxyl residue of inositol to a carbohydrate chain which is itself linked to the protein via an ethanolamine phosphate group, its amino group forming an amide linkage with the C-terminal carboxyl of the protein. Some GPI anchors have variants on this canonical linkage."
GO:0006650,glycerophospholipid metabolic process,2,368,6.83E-03,biological_process,"The chemical reactions and pathways involving glycerophospholipids, any derivative of glycerophosphate that contains at least one O-acyl, O-alkyl, or O-alkenyl group attached to the glycerol residue."
GO:0006644,phospholipid metabolic process,3,526,7.75E-04,biological_process,"The chemical reactions and pathways involving phospholipids, any lipid containing phosphoric acid as a mono- or diester."
GO:0006664,glycolipid metabolic process,3,148,1.04E-12,biological_process,"The chemical reactions and pathways involving glycolipids, a class of 1,2-di-O-acylglycerols joined at oxygen 3 by a glycosidic linkage to a carbohydrate part (usually a mono-, di- or tri-saccharide). Some substances classified as bacterial glycolipids have the sugar group acylated by one or more fatty acids and the glycerol group may be absent."
GO:0008375,acetylglucosaminyltransferase activity,1,112,7.07E-03,molecular_function,Catalysis of the transfer of an N-acetylglucosaminyl residue from UDP-N-acetyl-glucosamine to a sugar.
GO:0006661,phosphatidylinositol biosynthetic process,2,117,9.49E-08,biological_process,"The chemical reactions and pathways resulting in the formation of phosphatidylinositol, any glycophospholipid in which the sn-glycerol 3-phosphate residue is esterified to the 1-hydroxyl group of 1D-myo-inositol."
GO:0006793,phosphorus metabolic process,11,4975,8.77E-03,biological_process,"The chemical reactions and pathways involving the nonmetallic element phosphorus or compounds that contain phosphorus, usually in the form of a phosphate group (PO4)."
GO:0006796,phosphate-containing compound metabolic process,11,4901,7.53E-03,biological_process,"The chemical reactions and pathways involving the phosphate group, the anion or salt of any phosphoric acid."
GO:0008610,lipid biosynthetic process,4,1436,3.16E-02,biological_process,"The chemical reactions and pathways resulting in the formation of lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent."
GO:0008654,phospholipid biosynthetic process,3,299,1.64E-06,biological_process,"The chemical reactions and pathways resulting in the formation of a phospholipid, a lipid containing phosphoric acid as a mono- or diester."
GO:0009058,biosynthetic process,19,8348,3.80E-04,biological_process,The chemical reactions and pathways resulting in the formation of substances; typically the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
GO:0017176,phosphatidylinositol N-acetylglucosaminyltransferase activity,1,12,4.65E-18,molecular_function,Catalysis of the reaction: UDP-N-acetyl-D-glucosamine + phosphatidylinositol = UDP + N-acetyl-D-glucosaminylphosphatidylinositol.
GO:0016757,glycosyltransferase activity,5,1424,3.20E-03,molecular_function,Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor).
GO:0009247,glycolipid biosynthetic process,3,131,2.72E-14,biological_process,"The chemical reactions and pathways resulting in the formation of glycolipid, a class of 1,2-di-O-acylglycerols joined at oxygen 3 by a glycosidic linkage to a carbohydrate part (usually a mono-, di- or tri-saccharide)."
GO:0016740,transferase activity,20,9595,1.20E-03,molecular_function,"Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."
GO:0019637,organophosphate metabolic process,6,1279,5.22E-05,biological_process,"The chemical reactions and pathways involving organophosphates, any phosphate-containing organic compound."
GO:0046467,membrane lipid biosynthetic process,3,189,4.65E-10,biological_process,"The chemical reactions and pathways resulting in the formation of membrane lipids, any lipid found in or associated with a biological membrane."
GO:0036211,protein modification process,15,6310,8.55E-04,biological_process,"The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications). Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification)."
