,Table S9 GO enrichment of cluster 2,,,,,
PO:0009027,megasporophyll,3,13941,3.93E-05,plant_anatomy,"A structure upon which (or in the axil of which) one or more megasporangia are borne; in flowering plants, a carpel."
PO:0009013,portion of meristem tissue,3,13297,7.13E-05,plant_anatomy,"A portion of plant tissue (PO:0009007) in which plant cells (PO:0009002) have retained their embryonic characteristics, or have reverted to them secondarily, and that divide to produce new cells that can undergo differentiation to form mature tissues, i.e. they have a capacity for morphogenesis and growth."
PO:0009028,microsporophyll,3,13990,3.75E-05,plant_anatomy,"A structure on which one or more microsporangia are borne; in flowering plants, the stamen."
PO:0009029,stamen,3,13990,3.75E-05,plant_anatomy,A microsporophyll bearing one or more microsporangia.
PO:0009046,flower,3,17123,1.81E-06,plant_anatomy,A determinate reproductive shoot system (PO:0025082) that has as part at least one carpel (PO:0009030) or at least one stamen (PO:0009029) and does not contain any other determinate shoot system (PO:0009006) as a part.
PO:0009047,stem,3,14306,2.79E-05,plant_anatomy,A shoot axis (PO:0025029) that is the primary axis of a plant.
PO:0009052,inflorescence flower pedicel,3,13629,5.25E-05,plant_anatomy,A flower pedicel (PO:0030113) that bears a flower (PO:0009046) in an inflorescence (PO:0009049).
PO:0025006,plant gamete,1,5589,7.84E-03,plant_anatomy,A native plant cell (PO:0025606) that has half the chromosome complement of the sporophyte and is capable of fertilization to create a plant zygote (PO:0000423).
PO:0009030,carpel,3,13941,3.93E-05,plant_anatomy,"A megasporophyll, almost always at the center of a flower, its margins more or less fused together or with other carpels to enclose the ovule(s)."
PO:0025007,collective plant organ structure,3,18257,5.71E-07,plant_anatomy,"A collective plant structure (PO:0025497) that is a proper part of a whole plant (PO:0000003), and is composed of two or more adjacent plant organs (PO:0009008) and the associated portions of plant tissue (PO:0009007)."
PO:0025082,reproductive shoot system,3,17222,1.64E-06,plant_anatomy,A shoot system (PO:0009006) in the sporophytic phase that has as part at least one sporangium (PO:0025094).
PO:0025165,shoot epidermal cell,3,19073,2.44E-07,plant_anatomy,A plant epidermal cell (PO:0004013) that is part of a shoot axis epidermis (PO:0000112).
PO:0025195,pollen tube cell,1,4838,1.50E-02,plant_anatomy,A native plant cell (PO:0025606) that develops from a microgametophyte vegetative cell (PO:0020099) and forms a tubular extension of the pollen (PO:0025281).
PO:0025497,collective plant structure,3,18261,5.69E-07,plant_anatomy,"A plant structure (PO:0009011) that is a proper part of a whole plant (PO:0000003) and includes two or more adjacent plant organs (PO:0009008) or adjacent cardinal organ parts (PO:0025001), along with any associated portions of plant tissue (PO:0009007)."
PO:0025530,reproductive shoot system development stage,3,16212,4.47E-06,plant_structure_development_stage,A shoot system development stage (PO:0025527) that has as primary participant a reproductive shoot system (PO:0025082).
PO:0025527,shoot system development stage,3,16212,4.47E-06,plant_structure_development_stage,A collective plant organ structure development stage (PO:0025338) that begins with the onset of the plant organ development stage (PO:0025339) and ends with either gametophyte senescent stage (PO:0025343) or sporophyte senescent stage (PO:0007017) or death.
PO:0025578,collective phyllome structure development stage,3,16509,3.34E-06,plant_structure_development_stage,A collective plant organ stucture development stage (PO:0025338) that has as primary participant collective phyllome structure (PO:0025023).
PO:0025602,microgametophyte development stage,1,4870,1.46E-02,plant_structure_development_stage,A gametophyte development stage (PO:0028003) during which a microgametophyte (PO:0025280) develops.
PO:0030112,pedicel,3,13633,5.23E-05,plant_anatomy,A shoot axis (PO:0025029) that bears only a flower (PO:0009046) or a fruit (PO:0009001).
PO:0028003,gametophyte development stage,1,4876,1.45E-02,plant_structure_development_stage,A whole plant development stage (PO:0007033) that has as primary participant a whole plant (PO:0000003) during the interval between meiosis or apospory and the time that the whole plant ceases to exist.
PO:0030113,flower pedicel,3,13629,5.25E-05,plant_anatomy,A pedicel (PO:0030112) that bears a flower (PO:0009046).
GO:0003824,catalytic activity,56,23914,6.67E-07,molecular_function,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
GO:0005575,cellular_component,121,43766,7.08E-29,cellular_component,"A location, relative to cellular compartments and structures, occupied by a macromolecular machine when it carries out a molecular function. There are two ways in which the gene ontology describes locations of gene products: (1) relative to cellular structures (e.g., cytoplasmic side of plasma membrane) or compartments (e.g., mitochondrion), and (2) the stable macromolecular complexes of which they are parts (e.g., the ribosome)."
GO:0008150,biological_process,115,51472,1.35E-16,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence."
GO:0009266,response to temperature stimulus,12,1385,4.24E-14,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a temperature stimulus."
GO:0009408,response to heat,6,438,9.03E-13,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heat stimulus, a temperature stimulus above the optimal temperature for that organism."
GO:0006950,response to stress,36,6750,1.13E-20,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."
GO:0003674,molecular_function,109,57742,5.33E-09,molecular_function,"A molecular process that can be carried out by the action of a single macromolecular machine, usually via direct physical interactions with other molecular entities. Function in this sense denotes an action, or activity, that a gene product (or a complex) performs."
GO:0009628,response to abiotic stimulus,28,5021,2.66E-17,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus."
GO:0016787,hydrolase activity,17,7105,7.28E-03,molecular_function,"Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."
GO:0016817,"hydrolase activity, acting on acid anhydrides",6,1355,1.03E-03,molecular_function,Catalysis of the hydrolysis of any acid anhydride.
GO:0016818,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",6,1334,8.83E-04,molecular_function,Catalysis of the hydrolysis of any acid anhydride which contains phosphorus.
GO:0009987,cellular process,90,29660,5.20E-22,biological_process,"Any process that is carried out at the cellular level, but not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."
GO:0005737,cytoplasm,27,5552,1.03E-13,cellular_component,"The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
GO:0016887,ATP hydrolysis activity,5,620,2.60E-06,molecular_function,"Catalysis of the reaction: ATP + H2O = ADP + H+ phosphate. ATP hydrolysis is used in some reactions as an energy source, for example to catalyze a reaction or drive transport against a concentration gradient."
GO:0034605,cellular response to heat,1,80,3.68E-03,biological_process,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heat stimulus, a temperature stimulus above the optimal temperature for that organism."
GO:0050896,response to stimulus,56,10461,1.35E-32,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."
GO:0017111,ribonucleoside triphosphate phosphatase activity,5,1166,3.33E-03,molecular_function,Catalysis of the reaction: a ribonucleoside triphosphate + H2O = a ribonucleoside diphosphate + H+ + phosphate.
GO:0051716,cellular response to stimulus,14,2846,7.32E-08,biological_process,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."
GO:0033554,cellular response to stress,9,1659,2.70E-06,biological_process,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."
GO:0005488,binding,65,26763,6.46E-09,molecular_function,"The selective, non-covalent, often stoichiometric, interaction of a molecule with one or more specific sites on another molecule."
GO:0006807,nitrogen compound metabolic process,50,18170,5.07E-09,biological_process,The chemical reactions and pathways involving organic or inorganic compounds that contain nitrogen.
GO:0008152,metabolic process,65,25709,7.61E-10,biological_process,"The chemical reactions and pathways, including anabolism and catabolism, by which living organisms transform chemical substances. Metabolic processes typically transform small molecules, but also include macromolecular processes such as DNA repair and replication, and protein synthesis and degradation."
GO:0016462,pyrophosphatase activity,6,1287,6.11E-04,molecular_function,Catalysis of the hydrolysis of a pyrophosphate bond (diphosphate bond) between two phosphate groups.
GO:0009605,response to external stimulus,22,3458,1.49E-16,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."
GO:0009606,tropism,2,205,5.62E-04,biological_process,"The movement of an organism, or part of an organism, in response to an external source of stimulus, usually toward or away from it."
GO:0016567,protein ubiquitination,8,934,8.29E-10,biological_process,The process in which one or more ubiquitin groups are added to a protein.
GO:0032446,protein modification by small protein conjugation,8,998,4.25E-09,biological_process,"A protein modification process in which one or more groups of a small protein, such as ubiquitin or a ubiquitin-like protein, are covalently attached to a target protein."
GO:0043170,macromolecule metabolic process,46,16431,1.29E-08,biological_process,"The chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
GO:0019538,protein metabolic process,28,9926,1.29E-05,biological_process,The chemical reactions and pathways involving a protein. Includes protein modification.
GO:0043412,macromolecule modification,26,7346,5.33E-08,biological_process,"The covalent alteration of one or more monomeric units in a polypeptide, polynucleotide, polysaccharide, or other biological macromolecule, resulting in a change in its properties."
GO:0036211,protein modification process,24,6310,2.03E-08,biological_process,"The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications). Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification)."
GO:0005515,protein binding,47,7613,3.00E-33,molecular_function,Binding to a protein.
GO:0110165,cellular anatomical entity,120,35790,6.99E-40,cellular_component,"A part of a cellular organism that is either an immaterial entity or a material entity with granularity above the level of a protein complex but below that of an anatomical system. Or, a substance produced by a cellular organism with granularity above the level of a protein complex."
GO:0044238,primary metabolic process,55,21031,7.06E-09,biological_process,"The chemical reactions and pathways involving those compounds which are formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."
GO:0070647,protein modification by small protein conjugation or removal,11,1212,8.73E-14,biological_process,"A protein modification process in which one or more groups of a small protein, such as ubiquitin or a ubiquitin-like protein, are covalently attached to or removed from a target protein."
GO:0009630,gravitropism,2,103,3.07E-07,biological_process,The orientation of plant parts under the stimulation of gravity.
GO:0009629,response to gravity,2,113,1.15E-06,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a gravitational stimulus."
GO:0071704,organic substance metabolic process,63,24057,2.52E-10,biological_process,"The chemical reactions and pathways involving an organic substance, any molecular entity containing carbon."
GO:0005576,extracellular region,15,3430,4.73E-07,cellular_component,The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite.
GO:0004842,ubiquitin-protein transferase activity,6,771,5.47E-07,molecular_function,"Catalysis of the transfer of ubiquitin from one protein to another via the reaction X-Ub + Y = Y-Ub + X, where both X-Ub and Y-Ub are covalent linkages."
GO:0010274,hydrotropism,1,28,3.84E-07,biological_process,"Growth or movement in a sessile organism toward or away from water, as of the roots of a plant."
GO:0016740,transferase activity,31,9595,6.18E-08,molecular_function,"Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."
GO:0016746,acyltransferase activity,8,1736,1.02E-04,molecular_function,Catalysis of the transfer of an acyl group from one compound (donor) to another (acceptor).
GO:0016755,aminoacyltransferase activity,6,824,1.69E-06,molecular_function,Catalysis of the transfer of an amino-acyl group from one compound (donor) to another (acceptor).
GO:1901564,organonitrogen compound metabolic process,38,13255,1.48E-07,biological_process,The chemical reactions and pathways involving organonitrogen compound.
GO:0048364,root development,13,659,2.66E-38,biological_process,"The process whose specific outcome is the progression of the root over time, from its formation to the mature structure. The root is the water- and mineral-absorbing part of a plant which is usually underground, does not bear leaves, tends to grow downwards and is typically derived from the radicle of the embryo."
GO:0061659,ubiquitin-like protein ligase activity,3,343,9.97E-05,molecular_function,"Catalysis of the transfer of a ubiquitin-like protein (ULP) to a substrate protein via the reaction X-ULP + S = X + S-ULP, where X is either an E2 or E3 enzyme, the X-ULP linkage is a thioester bond, and the S-ULP linkage is an isopeptide bond between the C-terminal glycine of ULP and the epsilon-amino group of lysine residues in the substrate."
GO:0019787,ubiquitin-like protein transferase activity,6,794,9.09E-07,molecular_function,"Catalysis of the transfer of a ubiquitin-like from one protein to another via the reaction X-ULP + Y = Y-ULP + X, where both X-ULP and Y-ULP are covalent linkages. ULP represents a ubiquitin-like protein."
GO:0032502,developmental process,45,6098,2.00E-40,biological_process,"A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."
GO:0061630,ubiquitin protein ligase activity,3,333,7.35E-05,molecular_function,"Catalysis of the transfer of ubiquitin to a substrate protein via the reaction X-ubiquitin + S = X + S-ubiquitin, where X is either an E2 or E3 enzyme, the X-ubiquitin linkage is a thioester bond, and the S-ubiquitin linkage is an amide bond: an isopeptide bond between the C-terminal glycine of ubiquitin and the epsilon-amino group of lysine residues in the substrate or, in the linear extension of ubiquitin chains, a peptide bond the between the C-terminal glycine and N-terminal methionine of ubiquitin residues."
GO:0099402,plant organ development,16,1104,2.96E-33,biological_process,"Development of a plant organ, a multi-tissue plant structure that forms a functional unit."
GO:0004427,inorganic diphosphate phosphatase activity,1,36,8.29E-06,molecular_function,Catalysis of the reaction: diphosphate + H2O = H+ + 2 phosphate.
GO:0005985,sucrose metabolic process,1,95,8.43E-03,biological_process,"The chemical reactions and pathways involving sucrose, the disaccharide fructofuranosyl-glucopyranoside."
GO:0048856,anatomical structure development,32,4330,7.87E-29,biological_process,"The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."
GO:0005984,disaccharide metabolic process,2,191,3.19E-04,biological_process,"The chemical reactions and pathways involving any disaccharide, sugars composed of two monosaccharide units."
GO:0140096,"catalytic activity, acting on a protein",26,6828,4.81E-09,molecular_function,Catalytic activity that acts to modify a protein.
GO:0006109,regulation of carbohydrate metabolic process,1,89,6.24E-03,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving carbohydrates."
GO:0009311,oligosaccharide metabolic process,2,208,6.28E-04,biological_process,"The chemical reactions and pathways involving oligosaccharides, molecules with between two and (about) 20 monosaccharide residues connected by glycosidic linkages."
GO:0005829,cytosol,17,2692,5.69E-13,cellular_component,"The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
GO:0019222,regulation of metabolic process,24,7574,3.66E-06,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."
GO:0042546,cell wall biogenesis,4,456,8.02E-06,biological_process,"A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cell wall. Includes biosynthesis of constituent macromolecules, such as proteins and polysaccharides, and those macromolecular modifications that are involved in synthesis or assembly of the cellular component. A cell wall is the rigid or semi-rigid envelope lying outside the cell membrane of plant, fungal and most prokaryotic cells, maintaining their shape and protecting them from osmotic lysis."
GO:0044085,cellular component biogenesis,6,808,1.22E-06,biological_process,"A process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cellular component. Includes biosynthesis of constituent macromolecules, and those macromolecular modifications that are involved in synthesis or assembly of the cellular component."
GO:0050789,regulation of biological process,46,12088,1.69E-15,biological_process,"Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."
GO:0032881,regulation of polysaccharide metabolic process,1,45,7.31E-05,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving polysaccharides."
GO:0065007,biological regulation,47,12711,4.53E-15,biological_process,"Any process that modulates a measurable attribute of any biological process, quality or function."
GO:0071554,cell wall organization or biogenesis,11,1102,2.18E-15,biological_process,"A process that results in the biosynthesis of constituent macromolecules, assembly, arrangement of constituent parts, or disassembly of a cell wall."
GO:0071840,cellular component organization or biogenesis,32,4556,5.74E-27,biological_process,"A process that results in the biosynthesis of constituent macromolecules, assembly, arrangement of constituent parts, or disassembly of a cellular component."
GO:0060255,regulation of macromolecule metabolic process,20,6779,1.05E-04,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
GO:0080090,regulation of primary metabolic process,16,6120,2.98E-03,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."
GO:2000904,regulation of starch metabolic process,1,18,1.96E-10,biological_process,"Any process that modulates the frequency, rate or extent of starch metabolic process."
GO:0005634,nucleus,61,12751,3.17E-30,cellular_component,"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
GO:0005654,nucleoplasm,1,120,2.19E-02,cellular_component,That part of the nuclear content other than the chromosomes or the nucleolus.
GO:0019915,lipid storage,1,34,4.39E-06,biological_process,"The accumulation and maintenance in cells or tissues of lipids, compounds soluble in organic solvents but insoluble or sparingly soluble in aqueous solvents. Lipid reserves can be accumulated during early developmental stages for mobilization and utilization at later stages of development."
GO:0043226,organelle,95,24436,1.32E-36,cellular_component,"Organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, and prokaryotic structures such as anammoxosomes and pirellulosomes. Excludes the plasma membrane."
GO:0043227,membrane-bounded organelle,94,23309,2.71E-38,cellular_component,"Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."
GO:0043229,intracellular organelle,95,24375,9.38E-37,cellular_component,"Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."
GO:0043231,intracellular membrane-bounded organelle,94,23230,1.69E-38,cellular_component,"Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."
GO:0051179,localization,22,6033,2.68E-07,biological_process,"Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."
GO:0051235,maintenance of location,1,97,9.25E-03,biological_process,"Any process in which a cell, substance or cellular entity, such as a protein complex or organelle, is maintained in a location and prevented from moving elsewhere."
PO:0007112,1 main shoot growth stage,2,14075,1.17E-05,plant_structure_development_stage,The stage at which vegetative structures are being produced by SAM.
PO:0007133,leaf production stage,2,14071,1.17E-05,plant_structure_development_stage,The stage at which the leaves produced by SAM are visible above the ground in a seedling or mature plant.
PO:0025034,leaf,2,19154,6.86E-08,plant_anatomy,A phyllome (PO:0006001) that is not associated with a reproductive structure.
PO:0025498,cardinal part of multi-tissue plant structure,2,15616,2.62E-06,plant_anatomy,A plant structure (PO:0009011) that is a proper part of a multi-tissue plant structure (PO:0025496) and includes portions of plant tissues (PO:0009007) of at least two different types.
PO:0000013,cauline leaf,2,13008,3.20E-05,plant_anatomy,"A vascular leaf (PO:0009025), borne on the stem (PO:0009047)."
