,Table S8. GO enrichment of cluster 1,,,,,
PO:0025029,shoot axis,1,16477,8.29E-04,plant_anatomy,A plant axis (PO:0025004) that is part of a shoot system (PO:0009006).
PO:0025497,collective plant structure,1,18261,3.46E-04,plant_anatomy,"A plant structure (PO:0009011) that is a proper part of a whole plant (PO:0000003) and includes two or more adjacent plant organs (PO:0009008) or adjacent cardinal organ parts (PO:0025001), along with any associated portions of plant tissue (PO:0009007)."
PO:0009026,sporophyll,1,14957,1.70E-03,plant_anatomy,A leaf-like organ on which one or more sporangia are borne.
GO:0110165,cellular anatomical entity,56,35790,1.30E-20,cellular_component,"A part of a cellular organism that is either an immaterial entity or a material entity with granularity above the level of a protein complex but below that of an anatomical system. Or, a substance produced by a cellular organism with granularity above the level of a protein complex."
PO:0000003,whole plant,1,19774,1.61E-04,plant_anatomy,A plant structure (PO:0005679) which is a whole organism.
PO:0025338,collective plant organ structure development stage,1,17134,6.03E-04,plant_structure_development_stage,A plant structure development stage (PO:0009012) that has as primary participant a collective plant structure (PO:0025497).
PO:0025131,plant anatomical entity,1,33965,2.22E-08,plant_anatomy,An anatomical entity that is or was part of a plant.
PO:0009006,shoot system,1,17479,5.10E-04,plant_anatomy,A collective plant organ structure (PO:0025007) that produces shoot-borne portions of meristem tissue (PO:0009013) and the plant structures (PO:0009011) that arise from them.
PO:0000013,cauline leaf,1,13008,4.18E-03,plant_anatomy,"A vascular leaf (PO:0009025), borne on the stem (PO:0009047)."
GO:0004457,lactate dehydrogenase activity,1,3,1.31E-119,molecular_function,Catalysis of the reaction: lactate + NAD+ = H+ + NADH + pyruvate.
PO:0000230,inflorescence meristem,1,13008,4.18E-03,plant_anatomy,A meristem that gives rise to an inflorescence.
GO:0003824,catalytic activity,26,23914,3.50E-04,molecular_function,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
GO:0003674,molecular_function,48,57742,3.65E-04,molecular_function,"A molecular process that can be carried out by the action of a single macromolecular machine, usually via direct physical interactions with other molecular entities. Function in this sense denotes an action, or activity, that a gene product (or a complex) performs."
PO:0000293,guard cell,1,19036,2.34E-04,plant_anatomy,A shoot epidermal cell (PO:0025165) that is one of a pair of cells flanking the stomatal pore (PO:0008032).
PO:0001050,leaf development stage,1,12878,4.44E-03,plant_structure_development_stage,A phyllome development stage (PO:0025579) during which the development of vascular leaves (PO:0009025) and non-vascular leaves (PO:0025075) occurs.
PO:0001054,vascular leaf senescent stage,1,12870,4.45E-03,plant_structure_development_stage,A vascular leaf development stage (PO:0025570) that begins with the formation of a abscission zone at the base of a vascular leaf (PO:0009025) and ends with leaf separation and death.
PO:0000037,shoot axis apex,1,14370,2.24E-03,plant_anatomy,A shoot axis (PO:0025029) that is the most distal part of a shoot system (PO:0009006) and has as parts a shoot apical meristem (PO:0020148) and the youngest primordia (PO:0025127).
PO:0001078,plant embryo cotyledonary stage,1,13892,2.79E-03,plant_structure_development_stage,"A plant embryo development stage (PO:0007631) that occurs during the interval between the beginning of rapid elongation of the plant embryo axis (PO:0019018) and plant embryo cotyledons (PO:0025470), and the onset of a plant embryo true leaf formation stage (PO:0001095), when present, or a mature plant embryo stage (PO:0001081)."
PO:0001081,mature plant embryo stage,1,13314,3.64E-03,plant_structure_development_stage,"A plant embryo development stage (PO:0007631) during the interval between when a plant embryo (PO:0009009) has stopped developmental growth involved in morphogenesis (GO:0060560) and one of the following: the beginning of the seed germination stage (PO:0007057) in seed plants, formation of the first vascular leaf (PO:0009025) in pteridophytes, the beginning of development of a sporangium (PO:0025094) in bryophytes, or the beginning of the formation of a plant organ (PO:0009008) such as a root (PO:0009005), shoot axis (PO:0025029), or vascular leaf (PO:0009025) in a cultured plant embryo (PO:0000010)."
PO:0001185,plant embryo globular stage,1,13735,3.00E-03,plant_structure_development_stage,"A plant embryo development stage (PO:0007631) that occurs during the interval between when a plant embryo proper (PO:0000001) increases in diameter through cell division, but retains radial symmetry (with the concomitant formation of a protoderm (PO:0006210)), and the onset of a plant embryo bilateral stage (PO:0004507)."
PO:0004013,plant epidermal cell,1,19203,2.15E-04,plant_anatomy,A native plant cell (PO:0025606) that is part of a portion of epidermis (PO:0005679).
PO:0004507,plant embryo bilateral stage,1,13793,2.92E-03,plant_structure_development_stage,A plant embryo development stage (PO:0007631) that occurs during the interval between the transition from radial to bilateral symmetry in a plant embryo proper (PO:0000001) and the onset of either the plant embryo cotyledonary stage (PO:0001078) or the plant embryo coleoptilar stage (PO:0001094).
PO:0007064,LP.12 twelve leaves visible stage,1,12134,6.20E-03,plant_structure_development_stage,"The stage at which leaves at twelve nodes, other than the cotyledonary node, are visible above ground."
PO:0007098,LP.02 two leaves visible stage,1,12293,5.78E-03,plant_structure_development_stage,"The stage at which leaves at two nodes, other than the cotyledonary node, are visible above ground."
PO:0007103,LP.10 ten leaves visible stage,1,12625,4.97E-03,plant_structure_development_stage,"The stage at which leaves at ten nodes, other than the cotyledonary node, are visible above ground."
PO:0005005,shoot axis internode,1,14475,2.13E-03,plant_anatomy,A cardinal organ part (PO:0025001) of a shoot axis (PO:0025029) that is between two shoot axis nodes (PO:0005004).
PO:0007115,LP.04 four leaves visible stage,1,13665,3.10E-03,plant_structure_development_stage,"The stage at which leaves at four nodes, other than the cotyledonary node, are visible above ground."
PO:0007095,LP.08 eight leaves visible stage,1,12155,6.15E-03,plant_structure_development_stage,"The stage at which leaves at eight nodes, other than the cotyledonary node, are visible above ground."
PO:0007123,LP.06 six leaves visible stage,1,12534,5.18E-03,plant_structure_development_stage,"The stage at which leaves at six nodes, other than the cotyledonary node, are visible above ground."
PO:0007604,corolla development stage,1,16503,8.19E-04,plant_structure_development_stage,A collective phyllome structure development stage (PO:0025578) that has as a primary participant a corolla (PO:0009059).
PO:0007611,petal differentiation and expansion stage,1,16503,8.19E-04,plant_structure_development_stage,Stage of corolla development defined by differentiation and expansion of petal.
PO:0007616,flowering stage,1,16208,9.43E-04,plant_structure_development_stage,A flower development stage (PO:0007615) that begins when pollen (PO:0025281) is released by anther dehiscence (GO:0009901) and/or the stigma (PO:0009073) is receptive and ends with the process of pollination (GO:0009856) and/or floral organ senescence (GO:0080187).
PO:0008019,leaf lamina base,1,12609,5.01E-03,plant_anatomy,The region of the leaf lamina proximal to the stem and usually connected to it by means of a petiole.
PO:0009002,plant cell,1,23987,1.63E-05,plant_anatomy,A cell which is a plant structure (PO:0009011).
PO:0007615,flower development stage,1,16212,9.42E-04,plant_structure_development_stage,A reproductive shoot system development stage (PO:0025530) that occurs in an individual flower (PO:000904) during the interval between the onset of a flower meristem transition stage (PO:0025588) and the end of a flowering stage (PO:0007616).
PO:0009009,plant embryo,1,15925,1.08E-03,plant_anatomy,A whole plant (PO:0000003) that participates in the plant embryo stage (PO:0007631).
PO:0009027,megasporophyll,1,13941,2.73E-03,plant_anatomy,"A structure upon which (or in the axil of which) one or more megasporangia are borne; in flowering plants, a carpel."
PO:0009010,seed,1,14596,2.02E-03,plant_anatomy,A multi-tissue plant structure (PO:0025496) that develops from a plant ovule (PO:0020003) and has as parts a plant embryo (PO:0009009) enclosed in a seed coat (PO:0009088).
PO:0009028,microsporophyll,1,13990,2.67E-03,plant_anatomy,"A structure on which one or more microsporangia are borne; in flowering plants, the stamen."
PO:0009013,portion of meristem tissue,1,13297,3.67E-03,plant_anatomy,"A portion of plant tissue (PO:0009007) in which plant cells (PO:0009002) have retained their embryonic characteristics, or have reverted to them secondarily, and that divide to produce new cells that can undergo differentiation to form mature tissues, i.e. they have a capacity for morphogenesis and growth."
PO:0009005,root,1,15415,1.37E-03,plant_anatomy,A plant axis (PO:0025004) that lacks shoot axis nodes (PO:0005004) and usually grows indeterminately.
PO:0009007,portion of plant tissue,1,14718,1.91E-03,plant_anatomy,A plant structure (PO:0009011) that consists predominantly of similarly specialized plant cells (PO:0009002) of one or more types.
PO:0009032,petal,1,14717,1.91E-03,plant_anatomy,"A phyllome (PO:0006001) that is part of the corolla (PO:0009059), and is usually colored (not green)."
PO:0009030,carpel,1,13941,2.73E-03,plant_anatomy,"A megasporophyll, almost always at the center of a flower, its margins more or less fused together or with other carpels to enclose the ovule(s)."
PO:0009046,flower,1,17123,6.07E-04,plant_anatomy,A determinate reproductive shoot system (PO:0025082) that has as part at least one carpel (PO:0009030) or at least one stamen (PO:0009029) and does not contain any other determinate shoot system (PO:0009006) as a part.
PO:0009052,inflorescence flower pedicel,1,13629,3.15E-03,plant_anatomy,A flower pedicel (PO:0030113) that bears a flower (PO:0009046) in an inflorescence (PO:0009049).
PO:0009029,stamen,1,13990,2.67E-03,plant_anatomy,A microsporophyll bearing one or more microsporangia.
PO:0009031,sepal,1,15484,1.33E-03,plant_anatomy,"A phyllome (PO:0006001) that is usually green, and is part of the calyx (PO:0009060)."
PO:0020030,cotyledon,1,12983,4.23E-03,plant_anatomy,A vascular leaf (PO:0009025) formed at the first shoot node (PO:0005004) of a plant embryo (PO:0009009) or a seedling (PO:0000003).
PO:0009047,stem,1,14306,2.31E-03,plant_anatomy,A shoot axis (PO:0025029) that is the primary axis of a plant.
PO:0020100,hypocotyl,1,14474,2.14E-03,plant_anatomy,A stem internode (PO:0020142) below the cotyledonary node (PO:0025321) and transitional to a root (PO:0009005) of a plant embryo (PO:0009009) or a seedling (PO:0000003).
PO:0025022,collective leaf structure,1,15870,1.11E-03,plant_anatomy,A collective phyllome structure (PO:0025023) composed of two or more leaves (PO:0025034).
PO:0020038,petiole,1,12543,5.16E-03,plant_anatomy,A stalk (PO:0025066) of a vascular leaf (PO:0009025).
PO:0025023,collective phyllome structure,1,15924,1.08E-03,plant_anatomy,A collective plant organ structure (PO:0025007) that consists of two or more phyllomes (PO:0006001) originating from the same node or from one or more adjacent nodes with compressed shoot internodes (PO:0005005).
PO:0025066,stalk,1,12616,4.99E-03,plant_anatomy,A cardinal organ part (PO:0025001) that is elongated and sub-cylindrical to cylindrical and supports another cardinal organ part.
PO:0020137,leaf apex,1,12841,4.51E-03,plant_anatomy,A phyllome apex (PO:0025139) that is part of a leaf (PO:0025034).
PO:0025082,reproductive shoot system,1,17222,5.78E-04,plant_anatomy,A shoot system (PO:0009006) in the sporophytic phase that has as part at least one sporangium (PO:0025094).
PO:0025165,shoot epidermal cell,1,19073,2.30E-04,plant_anatomy,A plant epidermal cell (PO:0004013) that is part of a shoot axis epidermis (PO:0000112).
PO:0025280,microgametophyte,1,13121,3.97E-03,plant_anatomy,A whole plant (PO:0000003) in the gametophyte development stage (PO:0028003) that produces plant sperm cells (PO:0000084).
PO:0020142,stem internode,1,14475,2.13E-03,plant_anatomy,A shoot axis internode (PO:0005005) that is part of a stem (PO:0009047).
PO:0025281,pollen,1,12878,4.44E-03,plant_anatomy,A microgametophyte (PO:0025280) that develops from a microspore (PO:0020048) is located in a pollen sac (PO:0025277).
PO:0025139,phyllome apex,1,12841,4.51E-03,plant_anatomy,The apical portion of a phyllome.
PO:0025530,reproductive shoot system development stage,1,16212,9.42E-04,plant_structure_development_stage,A shoot system development stage (PO:0025527) that has as primary participant a reproductive shoot system (PO:0025082).
PO:0025571,multi-tissue plant structure development stage,1,12990,4.22E-03,plant_structure_development_stage,A plant structure development stage (PO:0009012) that has as primary participant a multi-tissue plant structure (PO:0025496).
PO:0025578,collective phyllome structure development stage,1,16509,8.17E-04,plant_structure_development_stage,A collective plant organ stucture development stage (PO:0025338) that has as primary participant collective phyllome structure (PO:0025023).
PO:0025570,vascular leaf development stage,1,12876,4.44E-03,plant_structure_development_stage,A leaf development stage (PO:0001050) that occurs during the interval between the onset of the vascular leaf initiation stage (PO:0001051) and the termination of the vascular leaf senescent stage (PO:0001054).
PO:0030112,pedicel,1,13633,3.15E-03,plant_anatomy,A shoot axis (PO:0025029) that bears only a flower (PO:0009046) or a fruit (PO:0009001).
PO:0025339,plant organ development stage,1,12892,4.41E-03,plant_structure_development_stage,A multi-tissue plant structure development stage (PO:0025571) that has as primary participant a plant organ (PO:0009008) .
PO:0030113,flower pedicel,1,13629,3.15E-03,plant_anatomy,A pedicel (PO:0030112) that bears a flower (PO:0009046).
PO:0025527,shoot system development stage,1,16212,9.42E-04,plant_structure_development_stage,A collective plant organ structure development stage (PO:0025338) that begins with the onset of the plant organ development stage (PO:0025339) and ends with either gametophyte senescent stage (PO:0025343) or sporophyte senescent stage (PO:0007017) or death.
GO:0004458,D-lactate dehydrogenase (cytochrome) activity,1,2,1.81E-178,molecular_function,Catalysis of the reaction: (R)-lactate + 2 [Fe(III)cytochrome c] = 2 [Fe(II)cytochrome c] + 2 H+ + pyruvate.
PO:0025579,phyllome development stage,1,12878,4.44E-03,plant_structure_development_stage,A plant organ development stage (PO:0025339) that has a primary participant a phyllome (PO:0025023).
GO:0006082,organic acid metabolic process,5,3326,2.10E-02,biological_process,"The chemical reactions and pathways involving organic acids, any acidic compound containing carbon in covalent linkage."
PO:0025606,native plant cell,1,20721,9.80E-05,plant_anatomy,A plant cell (PO:0009002) that is either part of a multicellular whole plant (PO:0000003) 'in vivo' or a unicellular organism 'in natura' (i.e. part of a natural environment).
GO:0008150,biological_process,53,51472,7.07E-09,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence."
GO:0005488,binding,31,26763,1.18E-05,molecular_function,"The selective, non-covalent, often stoichiometric, interaction of a molecule with one or more specific sites on another molecule."
GO:0005739,mitochondrion,7,4682,7.27E-03,cellular_component,"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
GO:0008720,D-lactate dehydrogenase activity,1,2,1.81E-178,molecular_function,Catalysis of the reaction: (R)-lactate + NAD+ = H+ + NADH + pyruvate.
GO:0008152,metabolic process,30,25709,1.48E-05,biological_process,"The chemical reactions and pathways, including anabolism and catabolism, by which living organisms transform chemical substances. Metabolic processes typically transform small molecules, but also include macromolecular processes such as DNA repair and replication, and protein synthesis and degradation."
GO:0006089,lactate metabolic process,1,19,3.22E-20,biological_process,"The chemical reactions and pathways involving lactate, the anion of lactic acid."
GO:0016898,"oxidoreductase activity, acting on the CH-OH group of donors, cytochrome as acceptor",1,2,1.81E-178,molecular_function,Catalysis of an oxidation-reduction (redox) reaction in which a CH-OH group acts as a hydrogen or electron donor and reduces a cytochrome molecule.
GO:0043436,oxoacid metabolic process,5,3200,1.63E-02,biological_process,"The chemical reactions and pathways involving any oxoacid; an oxoacid is a compound which contains oxygen, at least one other element, and at least one hydrogen bound to oxygen, and which produces a conjugate base by loss of positive hydrogen ion(s) (hydrons)."
GO:0009987,cellular process,38,29660,1.11E-08,biological_process,"Any process that is carried out at the cellular level, but not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."
GO:0016054,organic acid catabolic process,2,251,1.35E-06,biological_process,"The chemical reactions and pathways resulting in the breakdown of organic acids, any acidic compound containing carbon in covalent linkage."
GO:0019752,carboxylic acid metabolic process,5,2688,4.67E-03,biological_process,"The chemical reactions and pathways involving carboxylic acids, any organic acid containing one or more carboxyl (COOH) groups or anions (COO-)."
GO:0009056,catabolic process,6,3087,1.37E-03,biological_process,"The chemical reactions and pathways resulting in the breakdown of substances, including the breakdown of carbon compounds with the liberation of energy for use by the cell or organism."
GO:0044282,small molecule catabolic process,2,358,7.77E-05,biological_process,"The chemical reactions and pathways resulting in the breakdown of small molecules, any low molecular weight, monomeric, non-encoded molecule."
GO:0044237,cellular metabolic process,20,18030,1.61E-03,biological_process,The chemical reactions and pathways by which individual cells transform chemical substances.
GO:0044281,small molecule metabolic process,7,5046,1.34E-02,biological_process,"The chemical reactions and pathways involving small molecules, any low molecular weight, monomeric, non-encoded molecule."
GO:0071704,organic substance metabolic process,30,24057,2.38E-06,biological_process,"The chemical reactions and pathways involving an organic substance, any molecular entity containing carbon."
GO:1901616,organic hydroxy compound catabolic process,1,40,2.61E-10,biological_process,The chemical reactions and pathways resulting in the breakdown of organic hydroxy compound.
GO:1901575,organic substance catabolic process,6,2736,3.99E-04,biological_process,"The chemical reactions and pathways resulting in the breakdown of an organic substance, any molecular entity containing carbon."
GO:0001067,transcription regulatory region nucleic acid binding,6,1296,2.33E-09,molecular_function,"Binding to a nucleic acid region that regulates a nucleic acid-based process. Such processes include transcription, DNA replication, and DNA repair."
GO:1903457,lactate catabolic process,1,1,0.00E+00,biological_process,The chemical reactions and pathways resulting in the breakdown of lactate.
GO:0046395,carboxylic acid catabolic process,2,251,1.35E-06,biological_process,"The chemical reactions and pathways resulting in the breakdown of carboxylic acids, any organic acid containing one or more carboxyl (-COOH) groups."
GO:0000976,transcription cis-regulatory region binding,6,1296,2.33E-09,molecular_function,"Binding to a specific sequence of DNA that is part of a regulatory region that controls transcription of that section of the DNA. The transcribed region might be described as a gene, cistron, or operon."
GO:0072329,monocarboxylic acid catabolic process,1,87,2.27E-05,biological_process,"The chemical reactions and pathways resulting in the breakdown of monocarboxylic acids, any organic acid containing one carboxyl (-COOH) group."
GO:0043565,sequence-specific DNA binding,6,2032,9.29E-06,molecular_function,"Binding to DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA e.g. promotor binding or rDNA binding."
GO:0003690,double-stranded DNA binding,6,1557,1.08E-07,molecular_function,Binding to double-stranded DNA.
GO:0016772,"transferase activity, transferring phosphorus-containing groups",6,4868,4.59E-02,molecular_function,Catalysis of the transfer of a phosphorus-containing group from one compound (donor) to another (acceptor).
GO:0003677,DNA binding,7,4925,1.10E-02,molecular_function,Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).
GO:0016740,transferase activity,15,9595,4.15E-05,molecular_function,"Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."
GO:1990837,sequence-specific double-stranded DNA binding,6,1321,3.58E-09,molecular_function,"Binding to double-stranded DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA, e.g. promotor binding or rDNA binding."
GO:0044238,primary metabolic process,25,21031,7.48E-05,biological_process,"The chemical reactions and pathways involving those compounds which are formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."
GO:0006807,nitrogen compound metabolic process,25,18170,2.16E-06,biological_process,The chemical reactions and pathways involving organic or inorganic compounds that contain nitrogen.
GO:0019538,protein metabolic process,12,9926,6.64E-03,biological_process,The chemical reactions and pathways involving a protein. Includes protein modification.
GO:0140096,"catalytic activity, acting on a protein",13,6828,4.37E-06,molecular_function,Catalytic activity that acts to modify a protein.
GO:0043170,macromolecule metabolic process,22,16431,2.02E-05,biological_process,"The chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
GO:0004674,protein serine/threonine kinase activity,3,1036,1.61E-03,molecular_function,"Catalysis of the reactions: ATP + protein serine = ADP + protein serine phosphate, and ATP + protein threonine = ADP + protein threonine phosphate."
GO:0009628,response to abiotic stimulus,18,5021,1.44E-18,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus."
GO:0006950,response to stress,16,6750,8.30E-10,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."
GO:1901564,organonitrogen compound metabolic process,17,13255,4.51E-04,biological_process,The chemical reactions and pathways involving organonitrogen compound.
GO:0050896,response to stimulus,24,10461,1.05E-13,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."
GO:0051179,localization,8,6033,1.24E-02,biological_process,"Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."
GO:0005737,cytoplasm,9,5552,1.01E-03,cellular_component,"The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
GO:0005515,protein binding,21,7613,1.90E-15,molecular_function,Binding to a protein.
GO:0010033,response to organic substance,7,4472,4.89E-03,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic substance stimulus."
GO:0042221,response to chemical,9,5178,4.38E-04,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."
GO:0001101,response to acid chemical,4,1436,4.54E-04,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus by the chemical structure of the anion portion of a dissociated acid (rather than the acid acting as a proton donor). The acid chemical may be in gaseous, liquid or solid form."
GO:0009266,response to temperature stimulus,3,1385,1.10E-02,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a temperature stimulus."
